name,shipping,status,price,free_returns,items_sold
Shop on eBay,,Brand New,2000,False,
Lonabr Accent Chairs Set of 2 Upholstered Seat Computer Desk Chair Living Room ,0,Brand New,39499,False,
Office Computer Chair High Back PU Leather Ergonomic Executive Task Desk Chairs,0,Brand New,12076,False,
Mid Back PU Leather Office Chair Ergonomic Home Game Chairs Upholstered Armrests,0,Brand New,12998,True,
Livebest Set of 2 Modern Accent Chairs Cushion Upholstered Dining Room Home,0,Brand New,25499,False,
 Herman Miller Aeron Chair Open Box Size B Fully Loaded  ( Black Chair ) ,0,New – Open box,54911,True,10000
"Steelcase Leap V2 Chair, Fully Loaded Black on Black ",0,Refurbished,33911,True,4258
"Steelcase Leap V2 Chair,   Fully Loaded Platinum Edition",0,New – Open box,34411,True,815
Video Gaming Racing Chair Ergonomic Swivel Leather Computer Desk Office Chair,0,Brand New,6999,True,490
Leather Video Gaming Racing Chair Ergonomic Swivel Computer Office Desk Chair ,0,Brand New,6959,False,168
Gaming Chair Ergonomic Recliner Office Computer Desk Seat Swivel Footrest,0,Brand New,12959,False,47
Ergonomic Gaming Chair Swivel Leather Executive Computer Office USA,0,Brand New,5695,True,35
Steelcase Amia Chair by Steelcase  (leap) Open Box,0,New – Open box,27411,True,623
 Herman Miller Fully Loaded Posture fit Size B Aeron Chairs  - Open Box -,0,New – Open box,58911,True,7948
High Back Leather Office Chair Executive Office Desk Task Computer Chair ,0,Brand New,11599,False,2718
Computer Gaming Chair Ergonomic Office Chairs Executive Swivel Racing Recliner,0,Brand New,9959,False,
"YSSOA Gaming Office Chair High Back Computer Ergonomic Chair,Headrest & Footrest",0,Brand New,9299,True,
YSSOA Gaming Chair Ergonomic Recliner Office Computer Desk Seat Swivel Footrest,0,Brand New,9199,True,387
Herman Miller Mirra Chair  - Fully Adjustable Features - Graphite Frame (aeron) ,0,New – Open box,32911,True,714
Office Computer Desk Executive Chair Task Swivel Mesh Chair Adjustable Height ,0,Brand New,5399,False,1507
Ergonomic Gaming Chair Executive Desk Recliner Computer Seat Swivel Office Chair,0,Brand New,7599,True,216
Mesh Office Chairs Ergonomic Desk Chair Computer Mid Back Task Chair with Wheels,0,Brand New,5299,False,207
"Steelcase Leap  V1  Chair, -Open Box- Fully Loaded Black Fabric",0,Refurbished,22911,True,764
Gaming Chair Racing Computer Office Chair PU High Back Footrest Ergonomic Black,0,Brand New,15499,False,
ZYBRTEK Ergonomic Office Gaming Computer Chair Adjustable Reclining Footrest USA,0,Brand New,9900,True,
Herman Miller Celle Chair Fully Loaded,0,Refurbished,32999,False,348
New Headrest for Herman Miller classic and remastered Aeron office Chair Black,0,Brand New,8999,False,226
Executive Gaming Chair Massage Reclining Swivel Office Chair Desk Computer,0,Brand New,10999,True,374
