name,shipping,status,price,free_returns,items_sold
Shop on eBay,,Brand New,2000,False,
Spicy Sour Neon Gummy Worms - Mexican Gummi Gusanos -You Pick Size FREE SHIPPING,0,Brand New,999,False,
HC Gummy Worms,0,Brand New,899,False,
Kool Aid Gummy Worms,200,Brand New,500,False,
Jovy Gummy Worms Net Wt 5 Lb Bag (2.268 kg),0,Brand New,2099,True,24
Gummy Bears Albanese 12 Flavors 5lb Bag With Gourmet Kruise® Neon Sour Worm 10oz,0,Brand New,1995,False,607
HC Sour Gummy Worms,0,Brand New,1899,False,
Albanese NEON Sour Gummy Worms 1 POUND Bulk Classic Gummies FREE SHIPPING,0,Brand New,1525,True,201
Jovy neon Gummy worms Net Wt 5 Lb Bag (2.268 kg),0,Brand New,2199,True,10
NEW Trolli Sour Bursting Crawlers Dual-Flavor Sour Candy Gummi Worms 4.25 Oz Bag,0,Brand New,725,False,
"Dr. Snack Gummy Candy, Worms, 5 Pound",0,Brand New,2520,False,
Albanese Gummy Bears 12 Flavor 5lb Bag With Gummi Worms 11oz Gourmet Kruise® Bag,0,Brand New,2195,False,37
COASTAL BAY Sour Neon Worms Chewy Gummy/Gummi BULK Candy- {CHOOSE},0,Brand New,949,False,
Albanese Large Gummy Gummi Fruit Worms 5lb Plus Gourmet Kruise® Gift Bag 11oz  ,0,Brand New,2395,False,
Gomitas dulces de Trolli dulce agrio agria Sour Gummy Worms 28.8 Ounce,0,Brand New,2483,True,
Albanese Fruit Gummi Worms-2-5lb Bags-Exp. 01/26/23-Free Shipping,0,Brand New,3797,False,
"Yupik Mini Gummy Worms, 2.2 Lb, Chewy Candy",0,Brand New,2853,True,
World's Largest Gummy Worm - Cherry,0,Brand New,4495,True,
Black Forest Organic GUMMY WORMS 8 oz. Assorted Fruit Gummi Candy * BB 10/2022 *,0,Brand New,1200,False,
Trolli SOUR CRUNCHY CRAWLERS 3.8 oz Bag New Limited Edition Candy Gummy Worms**,610,Brand New,498,False,
Albanese 12 Flavor Gummi Worms 7.5 oz Bag (1-Bag),0,Brand New,1092,False,
New Listing5 Pack ALBANESE WORLD'S BEST 12 FLAVOR MINI GUMMI WORMS 9 oz.,0,Brand New,2499,False,
Haribo *CHOOSE YOUR FAVORITES*-Gummy Chewy Candy- (ANY 12 BAGS FOR $39.90),0,Brand New,667,False,
Trolli ~ Sour Bursting Crawlers Gummi Worms ~ Two 4.25oz Bags,0,Brand New,1336,True,
"Black Forest Organic Gummy Worms Candy, 4 Ounce",0,Brand New,1049,False,
Gummi Worms 5lb Bag With Gummy Worms Neon Sour Flavors Gourmet Kruise® Bag 11oz,0,Brand New,2495,False,
(5) Bags Black Forest Organic Gummy Bears Worms 82 oz (BBD: Aug 2022 or later),0,Brand New,2500,False,
Albanese Assorted Fruit Gummy Worms 5 POUND Bulk Classic Gummies FREE SHIPPING,0,Brand New,2375,True,87
"Smart Sweets Gummy Worms, Candy with Low Sugar (3g), Low Calorie 1.8oz.",0,Brand New,799,True,
"Black Forest Organic Gummy Worms, 4 Ounce, Pack of 12",0,Brand New,5126,True,
"Albanese SOUR Mini Neon Gummi Worms 7 oz Bags,  3 Bags Free Shipping!",0,Brand New,1990,False,
"Albanese 12 Flavor Mini Gummi Worms 7.5 oz Bags,  3 Bags  Free Ship!",0,Brand New,1990,False,
"Super Sour Worms , Sour Worms Item Weight 1lb-5lb",0,Brand New,1299,True,
"Warheads Lil Worms Gummi Candy Chews, 1.41 Ounce Bag - 12 Count Display Box",0,Brand New,1627,False,
"Trolli Sour Brite Crawlers Very Berry Gummy Worms, 5 Pound Bulk Candy Bag",499,Brand New,5199,True,32
New ListingGummi Worms Fruit Flavor Gummy Worms bulk gummy candy 5 pounds,0,Brand New,2486,False,
*NEW* Trolli FRUIT PUNCH Sour Brite Crawlers Gummy Worms {LOT OF 2 BAGS},0,Brand New,1099,False,
Trolli ~ Very Berry ~ Sour Brite Crawlers Gummi Worms ~ Resealable 14oz Bag,0,Brand New,1467,True,20
"Black Forest Gummy Worms, 4.5 Ounce (Pack of 12)",0,Brand New,2400,False,
"Trolli Sour Brite Crawlers Gummy Worms, Theater Box, 3.5 Ounce, Pack of 12, Mult",0,Brand New,3834,True,
Classic Gummy Candy Pack | Albanese | Haribo Sour Worms Sour Bears [Pack of 6],0,Brand New,2399,False,
Sour Neon Brightly Colored Gummy Worms | By Blue Clover Foods | Vibrant Soft ...,0,Brand New,1778,False,
"Sour Brite Crawlers Very Berry Gummy Worms, 5 Lb Bulk Candy Bag",0,Brand New,4104,True,
Albanese Assorted Fruit Gummy Worms 1 POUND Bulk Classic Gummies FREE SHIPPING,0,Brand New,1495,True,
(1) Bag Of Black Forest Organic Gummy Worms Chewy Candy 8 Oz *1,0,Brand New,1045,False,
Black Forest GUMMY WORMS 4.5 oz. Assorted Real Fruit Juice Gummi Candy *BB 6/23*,0,Brand New,800,False,
Sweet & Sour Neon Gummy Worms Candy Bulk Gummi 1 POUND BULK CANDY,0,Brand New,1499,False,
Albanese Gummi Bears 2 - 5 POUNDS 12 Flavor + 2 Gourmet Kruise® Gummy Sour Worms,0,Brand New,3595,False,55
Albanese NEON Sour Gummy Worms Classic Gummies 15oz SUPER SAVER BULK CANDY,0,Brand New,1125,True,
Albanese 4.5 lb SOUR MINI NEON GUMMI WORMS Gummy Chewy Sanded Candy Sealed Bag,0,Brand New,2399,False,
EFrutti Gummie Movie Bag 2.7 oz Gummy Pizza Hot Dog Popcorn Sour Worms Free Ship,0,Brand New,749,False,
(Lot of 4) New Bags  Lily’s Sour Gummy Worms Fruity Sour Flavors/ No Sugar Added,0,Brand New,1999,False,
Lily's - Sour Gummy Worms Tart 'n Tasty Fruit - 1.8 oz.,0,Brand New,703,False,
