name,shipping,status,price,free_returns,items_sold
Shop on eBay,,Brand New,2000,False,
Wall-E (The Criterion Collection) [4K UHD + Blu Ray] Limited Edition New Release,349,Brand New · Ultra HD · Wall-E,3999,False,
DVD Movies Sale Pick and Choose and Build Your Own Lot Cheap Action Top Titles,395,Pre-Owned,199,True,
Lot of 60 DVDs - Wholesale / Bulk DVDs Lot - A-List DVD Movies - Assorted Genres,0,Pre-Owned · DVD,3499,True,
"DVD Sale, Pick Choose Your Movies, Combined Ship Huge Used Lot, A+ Movie Titles",395,Pre-Owned,100,True,
TOP GUN:MAVERICK(4K ULTRA HD ONLY)W/SLIPCOVER (NO DIGITAL CODE INCLUDED),480,New (Other) · Ultra HD · Top Gun: Maverick,1299,False,
Walt Disney Classics 24Movies Animation Collection DVD BLU-RAY Brand New Sealed ,0,Brand New · Blu-ray,2975,False,178
TOP GUN:MAVERICK(BLU-RAY)W/SLIPCOVER NO DIGITAL CODE INCLUDED,480,New (Other) · Blu-ray · Top Gun: Maverick,999,False,44
"Kids DVD Sale Lot, Pick and Choose Cheap Disney / Pixar / Family Movies / Shows",395,Pre-Owned,100,True,
"Thor: Love and Thunder (DVD, 2022) -Chris Hemsworth- New & Sealed FREE Shipping",0,Brand New · DVD · Thor: Love and Thunder,949,False,
LOT OF (100) DVDs -- (Assorted Movies & Shows) -- DVD DISCS ONLY (Without Cases),0,Pre-Owned · DVD,2393,False,
Harry Potter 8-Movie Collection DVD Brand New All 8 Movies ,0,Brand New · DVD,1799,False,68
Peanuts Holiday Collection - Deluxe Edition DVD 3 Remastered Classics VG Cond.,0,Pre-Owned · DVD,1895,False,13
Horror DVD and Blu-Ray Lot Pick Choose Horror Monster Scary Thriller Movies Sale,395,Pre-Owned,199,True,
Walt Disney Classics 24-Movies Animation Collection DVD Brand New US REGION 1,0,Brand New · DVD,2598,False,25
DC 24 Movie Movies Collection Set 12 Discs DVD FREE shipping US REGION 1 DVD,0,Brand New · DVD,2598,False,
The Christmas Chronicles 1 and 2 (I and II) DVD Box Set US REGION 1 DVD SET,0,Brand New · DVD,2589,False,535
" Hocus Pocus 2 (2022) New, DVD, PRESALE, Region Free 🎃",349,Brand New · DVD · Hocus Pocus,2199,True,37
"Studio Ghibli Movie Collection (DVD, 25-Movies) Brand New ",0,Brand New · DVD,1899,False,90
Fantastic Beasts 3-Film Collection DVD Movie Bundle All 3 Movies New!,0,Brand New · DVD · Fantastic Beasts 3-Film Collection,1499,False,
Fast and Furious 10-Movie Collection DVD All 9 Movies + Hobbs and Shaw,0,Brand New · DVD · Fast & Furious,1499,False,45
*FREE SHIPPING! HUGE Collection Lot of 50 ASSORTED DVDs Movies 50 DVDs FREE SHIP,0,Pre-Owned · DVD,3599,False,395
BIG MOVIE - DVD - GOOD,0,Pre-Owned · DVD · Big,388,True,
Top Gun: Maverick Blu-Ray NODigital LIKE New,0,New (Other) · Blu-ray · Top Gun: Maverick,1899,False,58
"Top Gun: Maverick DVD (2022, Region 1 US ) - Brand New -Sealed Free Shipping",0,Brand New · DVD,1669,False,84
Top Gun: Maverick (4K UHD Nodigital W/slipcover) LIKE NEW,0,New (Other) · Ultra HD · Top Gun: Maverick,1899,False,
Build Your Dvd Collection U PICK $.99 DVD MOVIE cheap!!!,99,Pre-Owned,99,False,
Lot of 125 + Used ASSORTED DVD Movies - 125 Bulk DVDs - CHEAP - Lot - Wholesale,0,Pre-Owned · DVD,2500,False,
Harry Potter and Fantastic Beasts 10-Movie Collection DVD Bundle,0,Brand New · DVD,1699,False,222
Marvel Cinematic 24-Movie Collection DVD Box Set Brand New & Sealed us region 1,0,Brand New · DVD,2699,False,29
"DVD Sale Pick Choose Your Movies Lot Over 300 Top A+ Titles, BUY MORE AND SAVE",395,Pre-Owned,100,True,
The Jesse Stone 9-Movie Collection Brand New & Sealed US REGION 1 DVD Box Set,0,Brand New · DVD,1899,False,15
Showgirls (Fully Exposed Edition),0,Brand New · DVD · Showgirls,1499,True,50
Walt Disney Classics 24-Movies Animation Collection DVD Brand New Sealed Box Set,0,Brand New · DVD,2499,False,329
Christmas Holiday DVD Sale Pick Choose Your Movies Free Shipping Huge Used Lot,349,Pre-Owned,398,True,
"Top Gun: Maverick (DVD, 2022) Tom Cruise - New & Sealed FREE Shipping",0,Brand New · DVD · Top Gun: Maverick,1727,True,80
Misbehavior 10 Thriller Movies DVD,0,Pre-Owned · DVD,493,True,
Greyhound (WW2)  2020 DVD New Region 1,0,Brand New · DVD,2179,False,224
"The Original Christmas Classics (DVD, 2011, 2-Disc Set) - 7 Movies, Keepsake Edi",349,Brand New · DVD · Original Christmas Specials Collection,1099,True,17
Japan Studio Ghibli Special Edition Complete Collection 24 Movies Hayao Miyazaki,0,Brand New · HD DVD,2399,False,1308
Charlie Chan Collection - 42 Movies + 61 Old Time Radio Shows DVD,0,Brand New · DVD,2195,True,1200
"2000 Mules (DVD, 2022) - Brand New - Documentary by Dinesh D'Souza -",0,Brand New · DVD,1689,False,127
Huge Blu-ray Movies Lot - Pick & Choose - Buy 4+ Get 25% Off | $3.49 Shipping,349,Pre-Owned,99,False,
"Kids DVD Sale Lot, Pick and Choose Cheap Disney / Pixar / Family Movies / Shows",395,Pre-Owned,100,True,
"Halloween / Halloween II [New Blu-ray] Canada - Import, NTSC Region 0",0,Brand New · Blu-ray,863,True,
HALLMARK HOLIDAY COLLECTION: 4 MOVIES NEW DVD,0,Brand New,1498,False,24
DVDS Movies PICK and CHOOSE From 300+ Action Drama Comedy $4 Flat Rate Shipping,399,Pre-Owned,100,True,
"Sonic the Hedgehog 2 (DVD, 2022) Jim Carrey - New & Sealed FREE Shipping",0,Brand New · DVD · SONIC the Hedgehog 2,829,True,60
DVD Sale Pick Choose Your Kid Children Movies Combined Ship Huge Used Lot,349,Pre-Owned,189,False,
#22.  Old Classic Movies DVD LOT PICK & CHOOSE  $4 Flat Rate Combined Shipping,400,Pre-Owned,200,False,
Countdown to Christmas 9-Movie Collection [New DVD] 3 Pack,0,Brand New · DVD,2999,True,
"Waterboy, the DVD",0,Pre-Owned · DVD · The Waterboy,576,True,
"Where the Crawdads Sing (DVD, 2022) Brand New Sealed!!!",0,Brand New · DVD · Where the Crawdads Sing,1399,True,121
Deadpool 1 & 2 DVD Set - Brand New - Ryan Reynolds - Free Shipping,0,Brand New · DVD · Deadpool 2,1099,False,102
DVD / Blu-Ray Pick From 250 of Action & HORROR Movies - $4 Flat Rate Shipping,399,Pre-Owned,198,False,
The Christmas Chronicles 1 & 2 Movies (Blu-ray) New,0,Brand New · Blu-ray,1899,False,
"Planes, Trains and Automobiles (Blu-ray Disc, 2013)",349,"Brand New · Blu-ray Disc · Planes, Trains and Automobiles",489,True,
GHOSTBUSTERS: AFTERLIFE (2022 DVD) COMEDY / ACTION / CRIME,0,New (Other) · DVD,1189,False,1307
She-Hulk Attorney at Law 3- Discs DVD Box Set Region 1 New Sealed,0,Brand New · DVD · Time,2748,False,77
"Terrifier 2 (2022), NEW, Sealed DVD, REGION FREE, Presale",349,Brand New · DVD,2199,True,29
Top Gun: 2-Movie Collection (Top Gun / Top Gun: Maverick) [New 4K UHD Blu-ray],0,Brand New · Ultra HD,3995,True,
Peanuts Holiday Collection - Deluxe Edition DVD 3 Remastered Classics New Sealed,0,Brand New · DVD,2300,True,75
"Hellraiser (2022), NEW, Sealed DVD, REGION FREE, PRESALE",349,Brand New · DVD · Hellraiser,2199,True,
Halloween Kills Blu-ray Judy Greer NEW,0,Brand New · Blu-ray · Halloween Kills,999,False,862
Cars 1-3 DVD 3-Movie Collection Brand New Sealed Disney Pixar Free Shipping!,0,Brand New · DVD · Cars,1099,False,394
BULLET TRAIN (2022 DVD) SUSPENSE / ACTION,0,New (Other) · DVD,1079,False,
"Black Widow (DVD, 2021) Brand New Marvel Movie Free Shipping!",0,Brand New · DVD · Black Widow,799,False,226
ABBOTT AND COSTELLO 34 FULL LENGTH CLASSIC MOVIES 10 DVD SET,0,Brand New · DVD,1944,False,122
Phantasm 5 Movie Blu-ray Collection [New Blu-ray],0,Brand New · Blu-ray · Phantasm 5 Movie Blu-ray Collection,1936,True,
New Steelbook Spiderman Collection: 5 Films (Blu-ray),0,Brand New · Blu-ray Disc · Spider-Man Legacy Collection,1949,True,
Top Gun: Maverick  Blu-Ray Movie Tom Cruise USA Compatible Region Free Disk 2022,0,Brand New · Blu-ray,1399,False,
DC LEAGUE OF SUPER PETS (2022 DVD) FAMILY / COMEDY,0,New (Other) · DVD,1089,False,
"CODA (2021) Brand New, Sealed DVD, No Inserts, Presale",349,Brand New · DVD,2199,True,26
Christmas in My Heart / My Christmas Family Tree (Hallmark Channel 2-Movie Colle,0,Brand New,1799,True,
Abbott And Costello 31 Full Length Movies + 7 BONUS Television Show Episodes,0,Brand New · DVD,1995,True,123
Ladies Night DVD SALE Lot Pick Choose Your Romantic Comedies Movies Titles,395,Pre-Owned,100,True,
Shop on eBay,,Brand New,2000,False,
POSSESSION (1981) Blu-Ray with slipcover BRAND NEW Free Ship (USA Compatible),0,Brand New · Blu-ray,2550,True,296
A SMOKY MOUNTAIN CHRISTMAS DOLLY PARTON  DVD and CD - 3 Discs Set,533,Brand New · DVD · Dolly,1999,False,236
Alvin's Diamond Edition THE CHIPMUNK ADVENTURE + Slip Cover NEW & SEALED!,0,Brand New · DVD · Alvin and the Chipmunks,2499,False,88
"The Christmas Card (DVD, 2007) Includes Slip Cover!  NEW & SEALED",0,Brand New · DVD · The Christmas Card,2199,True,78
DC LEAGUE OF SUPER PETS (2022 DVD) FAMILY / COMEDY,0,New (Other) · DVD,1089,False,
"CODA (2021) Brand New, Sealed DVD, No Inserts, Presale",349,Brand New · DVD,2199,True,26
Christmas in My Heart / My Christmas Family Tree (Hallmark Channel 2-Movie Colle,0,Brand New,1799,True,
"Abbott & Costello The Complete Collection (28 Movies, DVD Collection Set) New",0,Brand New · DVD,3680,False,92
Movies Anywhere redeem code,0,Brand New,499,False,
"Eternals (DVD, 2021) Angelina Jolie - Brand New - Free Shipping Included",0,Brand New · DVD,798,False,298
Horror Classics (50 Movies) [New DVD],0,Brand New · DVD · Horror Classics (50 Movies),1101,True,
Walt Disney Classics 24-Movies Animation Collection DVD Brand New Sealed Box Set,0,Brand New · DVD,2599,True,
2000 MULES-DVD-SEALED-FAST SHIPPING-INCLUDED FREE: [S]ELECTION CODE ~ THE MOVIE,350,Brand New · DVD,1399,False,
Everything Everywhere All at Once [2022][DVD] NEW* Jamie Lee Curtis * FREE SHIP!,0,Brand New · DVD · Everything Everywhere All AT Once,1095,True,
HAPPINESS Todd Solondz NEW DVD SEALED Widescreen + Special Features US REGION 1,0,Brand New · DVD · Happiness,2499,False,20
"The Batman (DVD, 2022) Brand New Movie",0,Brand New · DVD · The Batman,1099,False,36
Spiderman 8-Movie Collection DVD Bundle Brand New & Sealed Free Shipping!,0,Brand New · DVD,1699,False,46
"🔥 New / Sealed - The Batman - Collectors SteelBook - 4K, Blu Ray, Digital -2022",0,Brand New · 4K UHD Blu-ray · The Batman,2995,True,
John Wick Complete Keanu Reeves Movies Series Chapter 1-3 1 2 3 NEW DVD SET,0,Brand New · DVD · John Wick: Chapters 1-3,1325,False,343
New Thunderheart (DVD),0,Brand New · DVD,749,True,
Hart to Hart - Movies Are Murder Collection DVD  NEW,0,Brand New · DVD,999,False,134
The Purge 5-movie Collection Blu-ray Ethan Hawke NEW,0,Brand New · Blu-ray · The Purge: 5-Movie Collection,1699,False,162
Hellraiser [New DVD],0,Brand New · DVD · Hellraiser,794,True,
2000 Mules DVD by D'Souza (2022 Documentary) Deluxe Edition New w/ FREE Shipping,0,Brand New · DVD,1695,True,79
New ListingTop Gun + Top Gun: Maverick 2-Movie Collection Blu-Ray NODigital LIKE New,0,New (Other) · Blu-ray,2299,False,
"Eternals (DVD, 2021) Brand New Movie Free Shipping!",0,Brand New · DVD · Eternals,799,False,62
"Medieval 2022, NEW, Sealed, DVD, REGION FREE, PRESALE",349,Brand New · DVD,1999,True,
New Listingblu ray movies Topgun,349,New (Other) · Blu-ray · Top Gun (1986 film),990,False,
